name,required
hello_world,true
my_abs,true
grade,true
my_round,true
fact,true
hanoi,true
fibo_iter,true
int_palindrome,true
display_square,true
my_pow,true
bubble_sort,true
hill_array,true
binary_search,true
file_basics_merge_files,true
spoilers,true
file_basics_insert_line,true
csv,false
cat,false
tinylibstream,true
tic_tac,false
functional_programming,true
functional_programming_advanced,false
insertion_sort,true
micro_shell,false
basic_ast,false
binary_tree_dynamic,true
freq_analysis,false
pointer_swap,true
assignment_operator,true
array_max_min,true
element_count,true
binary_search_ptr,true
hello_friends,true
repeat,true
my_strlen,true
str_revert,true
my_strcpy,true
my_strcmp,true
my_strlowcase,true
check_alphabet,true
my_calloc,true
clang~format,false
ascii_carousel,true
handling_complex,true
int_vector_max,true
int_vector_insert_sort,true
lookup_table,true
int_mats_mult,true
levenshtein,true
my_strcasecmp,true
my_strspn,true
my_atoi,true
my_itoa,true
my_itoa_base,true
my_strstr,true
my_strtok_r,true
connect4,false
quick_sort,true
stack,true
string_replace,false
run_length_encoding,false
date_format,false
lakes,false
heap,false
heap_sort,false
fifo,true
dlist,true
dlist_advanced,false
sieve_eratosthenes_advanced,true
bst,false
general_tree_lcrs,false
test_a_bit,true
bit_rotation,true
variant,true
vector,true
rotx,true
my_c_tail,false
lca,false
binary_cipher,true
my_memmove,true
null_terminated_arrays,true
generic_void_list,false
hash_map,true
ring_buffer,false
simple_fnmatch,false
my_recycler,false
