name,required
hello_world_shebang,true
ascii_house,true
using_special_variables,true
my_first_variable,true
inside,true
inside_noif,true
fact_iter,true
highest_common_factor,true
my_file,true
glob_easy,true
glob_remove_shell,true
right_tarball,true
create_files,true
generate_files,true
80cols,true
copy_save,false
find_ascii,true
80cols_grep,true
alphanum,true
uri_grep,false
eat_r,false
extchange,false
mix_files,false
user_ids,true
most_used,false
cut_csv,true
prototypes,true
facto,true
my_bc,true
mini_tree,false
seq,true
tower,false
sed_trailing_whitespaces,true
hacker_news,true
